"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Taylor, Chris","621035","LAA","108","RF","34","R","0.00","0.57","0.90","1.18","1.42","1.65","1.87","2.08","2.28","2.47","2.66","2.85","3.03","3.21","3.39","3.57","3.74","3.92","4.10"
"Taylor, Michael A.","572191","CWS","145","CF","34","R","0.00","0.55","0.86","1.12","1.35","1.57","1.78","1.97","2.17","2.35","2.53","2.71","2.89","3.07","3.24","3.41","3.59","3.77","3.95"
"Taylor, Tyrone","621438","NYM","121","CF","31","R","0.00","0.56","0.87","1.13","1.36","1.58","1.78","1.98","2.17","2.35","2.53","2.71","2.88","3.05","3.22","3.39","3.55","3.72","3.89"
"Teel, Kyle","691019","CWS","145","C","23","L","0.00","0.54","0.84","1.09","1.33","1.54","1.75","1.95","2.14","2.33","2.52","2.70","2.88","3.05","3.23","3.40","3.58","3.75","3.94"
"Tellez, Rowdy","642133","TEX","140","1B","30","L","0.00","0.58","0.91","1.20","1.46","1.71","1.94","2.16","2.38","2.59","2.79","3.00","3.20","3.39","3.59","3.79","4.00","4.21","4.43"
"Tena, José","677588","WSH","120","3B","24","L","0.00","0.53","0.82","1.07","1.30","1.52","1.72","1.92","2.11","2.30","2.48","2.66","2.84","3.01","3.19","3.36","3.53","3.71","3.90"
"Teodosio, Bryce","669326","LAA","108","CF","26","R","0.00","0.55","0.86","1.11","1.34","1.55","1.75","1.94","2.13","2.31","2.49","2.66","2.83","3.00","3.17","3.33","3.49","3.66","3.83"
"Thaiss, Matt","642136","TB","139","C","30","L","0.00","0.54","0.86","1.13","1.38","1.61","1.84","2.05","2.26","2.47","2.66","2.86","3.05","3.24","3.43","3.62","3.81","4.01","4.23"
"Thomas, Alek","677950","AZ","109","CF","25","L","0.00","0.54","0.83","1.09","1.32","1.54","1.75","1.95","2.14","2.32","2.51","2.69","2.86","3.04","3.21","3.38","3.56","3.73","3.92"
"Thomas, Colby","687515","ATH","133","RF","24","R","0.00","0.56","0.87","1.12","1.35","1.56","1.76","1.96","2.15","2.33","2.51","2.68","2.86","3.03","3.20","3.37","3.54","3.71","3.90"
"Thomas, Lane","657041","CLE","114","CF","29","R","0.00","0.54","0.86","1.12","1.35","1.57","1.78","1.97","2.16","2.34","2.52","2.70","2.87","3.04","3.21","3.37","3.54","3.70","3.88"
"Toglia, Michael","669911","COL","115","1B","26","R","0.00","0.53","0.85","1.12","1.36","1.59","1.80","2.01","2.20","2.40","2.58","2.77","2.95","3.13","3.31","3.48","3.66","3.84","4.03"
"Toglia, Michael","669911","COL","115","1B","26","L","0.00","0.52","0.84","1.12","1.36","1.59","1.81","2.02","2.23","2.42","2.62","2.80","2.99","3.17","3.35","3.54","3.72","3.91","4.11"
"Tolbert, Tyler","686475","KC","118","CF","27","R","0.00","0.54","0.84","1.09","1.32","1.53","1.73","1.93","2.12","2.30","2.48","2.65","2.82","3.00","3.16","3.33","3.50","3.67","3.85"
"Torkelson, Spencer","679529","DET","116","1B","25","R","0.00","0.56","0.88","1.16","1.40","1.63","1.85","2.06","2.26","2.45","2.65","2.84","3.02","3.20","3.39","3.57","3.75","3.94","4.13"
"Toro, Abraham","647351","BOS","111","1B","28","R","0.00","0.57","0.89","1.16","1.40","1.63","1.84","2.04","2.23","2.42","2.61","2.79","2.97","3.14","3.32","3.49","3.66","3.84","4.02"
"Toro, Abraham","647351","BOS","111","1B","28","L","0.00","0.53","0.84","1.09","1.32","1.54","1.75","1.95","2.14","2.33","2.51","2.69","2.87","3.05","3.22","3.40","3.59","3.78","3.99"
"Torrens, Luis","620443","NYM","121","C","29","R","0.00","0.57","0.90","1.17","1.43","1.66","1.88","2.09","2.30","2.50","2.69","2.89","3.08","3.26","3.45","3.63","3.82","4.01","4.21"
"Torres, Gleyber","650402","DET","116","2B","28","R","0.00","0.57","0.90","1.18","1.43","1.66","1.88","2.09","2.30","2.49","2.69","2.88","3.07","3.26","3.44","3.63","3.82","4.02","4.22"
"Tovar, Ezequiel","678662","COL","115","SS","23","R","0.00","0.56","0.88","1.15","1.39","1.61","1.82","2.02","2.22","2.41","2.59","2.78","2.96","3.13","3.31","3.49","3.67","3.85","4.04"
